,Entity,Code,Day,after_lockdown_start
8392,Austria,AUT,2020-01-01,0
8393,Austria,AUT,2020-01-02,0
8394,Austria,AUT,2020-01-03,0
8395,Austria,AUT,2020-01-04,0
8396,Austria,AUT,2020-01-05,0
8397,Austria,AUT,2020-01-06,0
8398,Austria,AUT,2020-01-07,0
8399,Austria,AUT,2020-01-08,0
8400,Austria,AUT,2020-01-09,0
8401,Austria,AUT,2020-01-10,0
8402,Austria,AUT,2020-01-11,0
8403,Austria,AUT,2020-01-12,0
8404,Austria,AUT,2020-01-13,0
8405,Austria,AUT,2020-01-14,0
8406,Austria,AUT,2020-01-15,0
8407,Austria,AUT,2020-01-16,0
8408,Austria,AUT,2020-01-17,0
8409,Austria,AUT,2020-01-18,0
8410,Austria,AUT,2020-01-19,0
8411,Austria,AUT,2020-01-20,0
8412,Austria,AUT,2020-01-21,0
8413,Austria,AUT,2020-01-22,0
8414,Austria,AUT,2020-01-23,0
8415,Austria,AUT,2020-01-24,0
8416,Austria,AUT,2020-01-25,0
8417,Austria,AUT,2020-01-26,0
8418,Austria,AUT,2020-01-27,0
8419,Austria,AUT,2020-01-28,0
8420,Austria,AUT,2020-01-29,0
8421,Austria,AUT,2020-01-30,0
8422,Austria,AUT,2020-01-31,0
8423,Austria,AUT,2020-02-01,0
8424,Austria,AUT,2020-02-02,0
8425,Austria,AUT,2020-02-03,0
8426,Austria,AUT,2020-02-04,0
8427,Austria,AUT,2020-02-05,0
8428,Austria,AUT,2020-02-06,0
8429,Austria,AUT,2020-02-07,0
8430,Austria,AUT,2020-02-08,0
8431,Austria,AUT,2020-02-09,0
8432,Austria,AUT,2020-02-10,0
8433,Austria,AUT,2020-02-11,0
8434,Austria,AUT,2020-02-12,0
8435,Austria,AUT,2020-02-13,0
8436,Austria,AUT,2020-02-14,0
8437,Austria,AUT,2020-02-15,0
8438,Austria,AUT,2020-02-16,0
8439,Austria,AUT,2020-02-17,0
8440,Austria,AUT,2020-02-18,0
8441,Austria,AUT,2020-02-19,0
8442,Austria,AUT,2020-02-20,0
8443,Austria,AUT,2020-02-21,0
8444,Austria,AUT,2020-02-22,0
8445,Austria,AUT,2020-02-23,0
8446,Austria,AUT,2020-02-24,0
8447,Austria,AUT,2020-02-25,0
8448,Austria,AUT,2020-02-26,0
8449,Austria,AUT,2020-02-27,0
8450,Austria,AUT,2020-02-28,0
8451,Austria,AUT,2020-02-29,0
8452,Austria,AUT,2020-03-01,0
8453,Austria,AUT,2020-03-02,0
8454,Austria,AUT,2020-03-03,0
8455,Austria,AUT,2020-03-04,0
8456,Austria,AUT,2020-03-05,0
8457,Austria,AUT,2020-03-06,0
8458,Austria,AUT,2020-03-07,0
8459,Austria,AUT,2020-03-08,0
8460,Austria,AUT,2020-03-09,0
8461,Austria,AUT,2020-03-10,0
8462,Austria,AUT,2020-03-11,0
8463,Austria,AUT,2020-03-12,0
8464,Austria,AUT,2020-03-13,0
8465,Austria,AUT,2020-03-14,0
8466,Austria,AUT,2020-03-15,0
8467,Austria,AUT,2020-03-16,1
8468,Austria,AUT,2020-03-17,1
8469,Austria,AUT,2020-03-18,1
8470,Austria,AUT,2020-03-19,1
8471,Austria,AUT,2020-03-20,1
8472,Austria,AUT,2020-03-21,1
8473,Austria,AUT,2020-03-22,1
8474,Austria,AUT,2020-03-23,1
8475,Austria,AUT,2020-03-24,1
8476,Austria,AUT,2020-03-25,1
8477,Austria,AUT,2020-03-26,1
8478,Austria,AUT,2020-03-27,1
8479,Austria,AUT,2020-03-28,1
8480,Austria,AUT,2020-03-29,1
8481,Austria,AUT,2020-03-30,1
8482,Austria,AUT,2020-03-31,1
8483,Austria,AUT,2020-04-01,1
8484,Austria,AUT,2020-04-02,1
8485,Austria,AUT,2020-04-03,1
8486,Austria,AUT,2020-04-04,1
8487,Austria,AUT,2020-04-05,1
8488,Austria,AUT,2020-04-06,1
8489,Austria,AUT,2020-04-07,1
8490,Austria,AUT,2020-04-08,1
8491,Austria,AUT,2020-04-09,1
8492,Austria,AUT,2020-04-10,1
8493,Austria,AUT,2020-04-11,1
8494,Austria,AUT,2020-04-12,1
8495,Austria,AUT,2020-04-13,1
8496,Austria,AUT,2020-04-14,1
8497,Austria,AUT,2020-04-15,1
8498,Austria,AUT,2020-04-16,1
8499,Austria,AUT,2020-04-17,1
8500,Austria,AUT,2020-04-18,1
8501,Austria,AUT,2020-04-19,1
8502,Austria,AUT,2020-04-20,1
8503,Austria,AUT,2020-04-21,1
8504,Austria,AUT,2020-04-22,1
8505,Austria,AUT,2020-04-23,1
8506,Austria,AUT,2020-04-24,1
8507,Austria,AUT,2020-04-25,1
8508,Austria,AUT,2020-04-26,1
8509,Austria,AUT,2020-04-27,1
8510,Austria,AUT,2020-04-28,1
8511,Austria,AUT,2020-04-29,1
8512,Austria,AUT,2020-04-30,1
8513,Austria,AUT,2020-05-01,1
8514,Austria,AUT,2020-05-02,1
8515,Austria,AUT,2020-05-03,1
8516,Austria,AUT,2020-05-04,1
8517,Austria,AUT,2020-05-05,1
8518,Austria,AUT,2020-05-06,1
8519,Austria,AUT,2020-05-07,1
8520,Austria,AUT,2020-05-08,1
8521,Austria,AUT,2020-05-09,1
8522,Austria,AUT,2020-05-10,1
8523,Austria,AUT,2020-05-11,1
8524,Austria,AUT,2020-05-12,1
8525,Austria,AUT,2020-05-13,1
8526,Austria,AUT,2020-05-14,1
8527,Austria,AUT,2020-05-15,1
8528,Austria,AUT,2020-05-16,1
8529,Austria,AUT,2020-05-17,1
8530,Austria,AUT,2020-05-18,1
8531,Austria,AUT,2020-05-19,1
8532,Austria,AUT,2020-05-20,1
8533,Austria,AUT,2020-05-21,1
8534,Austria,AUT,2020-05-22,1
8535,Austria,AUT,2020-05-23,1
8536,Austria,AUT,2020-05-24,1
8537,Austria,AUT,2020-05-25,1
8538,Austria,AUT,2020-05-26,1
8539,Austria,AUT,2020-05-27,1
8540,Austria,AUT,2020-05-28,1
8541,Austria,AUT,2020-05-29,1
8542,Austria,AUT,2020-05-30,1
8543,Austria,AUT,2020-05-31,1
