,country,date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,language
0,IND,2020-01-01,,,0,0,0.0,Tamil
1,DEU,2020-01-01,,,0,0,0.0,German
2,CHE,2020-01-01,,,0,0,0.0,German
3,JPN,2020-01-01,,,0,0,0.0,Japanese
4,AUT,2020-01-01,,,0,0,0.0,German
5,VNM,2020-01-01,,,0,0,0.0,Vietnamese
6,SRB,2020-01-01,,,0,0,0.0,Serbian
7,AUT,2020-01-02,,,0,0,0.0,German
8,VNM,2020-01-02,,,0,0,0.0,Vietnamese
9,DEU,2020-01-02,,,0,0,0.0,German
10,JPN,2020-01-02,,,0,0,0.0,Japanese
11,CHE,2020-01-02,,,0,0,0.0,German
12,SRB,2020-01-02,,,0,0,0.0,Serbian
13,IND,2020-01-02,,,0,0,0.0,Tamil
14,JPN,2020-01-03,,,0,0,0.0,Japanese
15,SRB,2020-01-03,,,0,0,0.0,Serbian
16,DEU,2020-01-03,,,0,0,0.0,German
17,VNM,2020-01-03,,,0,0,0.0,Vietnamese
18,CHE,2020-01-03,,,0,0,0.0,German
19,AUT,2020-01-03,,,0,0,0.0,German
20,IND,2020-01-03,,,0,0,0.0,Tamil
21,IND,2020-01-04,,,0,0,0.0,Tamil
22,AUT,2020-01-04,,,0,0,0.0,German
23,DEU,2020-01-04,,,0,0,0.0,German
24,SRB,2020-01-04,,,0,0,0.0,Serbian
25,CHE,2020-01-04,,,0,0,0.0,German
26,JPN,2020-01-04,,,0,0,0.0,Japanese
27,VNM,2020-01-04,,,0,0,0.0,Vietnamese
28,DEU,2020-01-05,,,0,0,0.0,German
29,SRB,2020-01-05,,,0,0,0.0,Serbian
30,AUT,2020-01-05,,,0,0,0.0,German
31,IND,2020-01-05,,,0,0,0.0,Tamil
32,CHE,2020-01-05,,,0,0,0.0,German
33,JPN,2020-01-05,,,0,0,0.0,Japanese
34,VNM,2020-01-05,,,0,0,0.0,Vietnamese
35,VNM,2020-01-06,,,0,0,0.0,Vietnamese
36,JPN,2020-01-06,,,0,0,0.0,Japanese
37,CHE,2020-01-06,,,0,0,0.0,German
38,IND,2020-01-06,,,0,0,0.0,Tamil
39,SRB,2020-01-06,,,0,0,0.0,Serbian
40,DEU,2020-01-06,,,0,0,0.0,German
41,AUT,2020-01-06,,,0,0,0.0,German
42,AUT,2020-01-07,,,0,0,0.0,German
43,DEU,2020-01-07,,,0,0,0.0,German
44,JPN,2020-01-07,,,0,0,0.0,Japanese
45,IND,2020-01-07,,,0,0,0.0,Tamil
46,SRB,2020-01-07,,,0,0,0.0,Serbian
47,VNM,2020-01-07,,,0,0,0.0,Vietnamese
48,CHE,2020-01-07,,,0,0,0.0,German
49,VNM,2020-01-08,,,0,0,0.0,Vietnamese
50,DEU,2020-01-08,,,0,0,0.0,German
51,IND,2020-01-08,,,0,0,0.0,Tamil
52,SRB,2020-01-08,,,0,0,0.0,Serbian
