date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-01-01,German (DEU),,,0,0,0.0,book,159
2020-01-01,Tamil,,,0,0,0.0,book,11
2020-01-01,Vietnamese,,,0,0,0.0,book,33
2020-01-01,Serbian,,,0,0,0.0,book,2
2020-01-01,Japanese,,,0,0,0.0,book,90
2020-01-01,German (CHE),,,0,0,0.0,book,159
2020-01-01,German (AUT),,,0,0,0.0,book,159
2020-01-02,Vietnamese,,,0,0,0.0,book,38
2020-01-02,Japanese,,,0,0,0.0,book,125
2020-01-02,German (DEU),,,0,0,0.0,book,179
2020-01-02,Serbian,,,0,0,0.0,book,5
2020-01-02,Tamil,,,0,0,0.0,book,25
2020-01-02,German (AUT),,,0,0,0.0,book,179
2020-01-02,German (CHE),,,0,0,0.0,book,179
2020-01-03,Tamil,,,0,0,0.0,book,12
2020-01-03,Japanese,,,0,0,0.0,book,112
2020-01-03,German (AUT),,,0,0,0.0,book,216
2020-01-03,Serbian,,,0,0,0.0,book,4
2020-01-03,German (DEU),,,0,0,0.0,book,216
2020-01-03,German (CHE),,,0,0,0.0,book,216
2020-01-03,Vietnamese,,,0,0,0.0,book,26
2020-01-04,German (DEU),,,0,0,0.0,book,234
2020-01-04,German (AUT),,,0,0,0.0,book,234
2020-01-04,Serbian,,,0,0,0.0,book,11
2020-01-04,German (CHE),,,0,0,0.0,book,234
2020-01-04,Tamil,,,0,0,0.0,book,20
2020-01-04,Japanese,,,0,0,0.0,book,116
2020-01-04,Vietnamese,,,0,0,0.0,book,24
2020-01-05,Serbian,,,0,0,0.0,book,8
2020-01-05,German (DEU),,,0,0,0.0,book,234
2020-01-05,Tamil,,,0,0,0.0,book,24
2020-01-05,German (AUT),,,0,0,0.0,book,234
2020-01-05,Japanese,,,0,0,0.0,book,151
2020-01-05,Vietnamese,,,0,0,0.0,book,30
2020-01-05,German (CHE),,,0,0,0.0,book,234
2020-01-06,Serbian,,,0,0,0.0,book,5
2020-01-06,Vietnamese,,,0,0,0.0,book,37
2020-01-06,Japanese,,,0,0,0.0,book,196
2020-01-06,German (CHE),,,0,0,0.0,book,285
2020-01-06,German (DEU),,,0,0,0.0,book,285
2020-01-06,German (AUT),,,0,0,0.0,book,285
2020-01-06,Tamil,,,0,0,0.0,book,45
2020-01-07,Serbian,,,0,0,0.0,book,2
2020-01-07,Japanese,,,0,0,0.0,book,235
2020-01-07,German (AUT),,,0,0,0.0,book,264
2020-01-07,Tamil,,,0,0,0.0,book,20
2020-01-07,German (CHE),,,0,0,0.0,book,264
2020-01-07,Vietnamese,,,0,0,0.0,book,20
2020-01-07,German (DEU),,,0,0,0.0,book,264
2020-01-08,Tamil,,,0,0,0.0,book,28
2020-01-08,German (CHE),,,0,0,0.0,book,296
2020-01-08,German (AUT),,,0,0,0.0,book,296
2020-01-08,German (DEU),,,0,0,0.0,book,296
2020-01-08,Vietnamese,,,0,0,0.0,book,21
2020-01-08,Japanese,,,0,0,0.0,book,203
2020-01-09,Tamil,,,0,0,0.0,book,23
2020-01-09,Japanese,,,0,0,0.0,book,254
2020-01-09,German (AUT),,,0,0,0.0,book,269
2020-01-09,German (CHE),,,0,0,0.0,book,269
2020-01-09,German (DEU),,,0,0,0.0,book,269
2020-01-09,Vietnamese,,,0,0,0.0,book,24
2020-01-10,Japanese,,,0,0,0.0,book,203
2020-01-10,German (CHE),,,0,0,0.0,book,256
2020-01-10,Tamil,,,0,0,0.0,book,25
2020-01-10,Vietnamese,,,0,0,0.0,book,22
2020-01-10,German (DEU),,,0,0,0.0,book,256
2020-01-10,German (AUT),,,0,0,0.0,book,256
2020-01-11,German (AUT),,,0,0,0.0,book,213
2020-01-11,German (CHE),,,0,0,0.0,book,213
2020-01-11,Japanese,,,0,0,0.0,book,143
2020-01-11,German (DEU),,,0,0,0.0,book,213
2020-01-11,Vietnamese,,,0,0,0.0,book,18
2020-01-11,Tamil,,,0,0,0.0,book,20
2020-01-12,Vietnamese,,,0,0,0.0,book,34
2020-01-12,German (DEU),,,0,0,0.0,book,220
2020-01-12,German (CHE),,,0,0,0.0,book,220
2020-01-12,German (AUT),,,0,0,0.0,book,220
2020-01-12,Japanese,,,0,0,0.0,book,157
2020-01-12,Tamil,,,0,0,0.0,book,23
2020-01-13,Tamil,,,0,0,0.0,book,14
2020-01-13,German (DEU),,,0,0,0.0,book,266
2020-01-13,German (CHE),,,0,0,0.0,book,266
2020-01-13,German (AUT),,,0,0,0.0,book,266
2020-01-13,Vietnamese,,,0,0,0.0,book,40
2020-01-13,Serbian,,,0,0,0.0,book,0
2020-01-13,Japanese,,,0,0,0.0,book,161
2020-01-14,German (AUT),,,0,0,0.0,book,285
2020-01-14,German (CHE),,,0,0,0.0,book,285
2020-01-14,German (DEU),,,0,0,0.0,book,285
2020-01-14,Vietnamese,,,0,0,0.0,book,18
2020-01-14,Serbian,,,0,0,0.0,book,3
2020-01-14,Tamil,,,0,0,0.0,book,9
2020-01-14,Japanese,,,0,0,0.0,book,211
2020-01-15,Japanese,,,0,0,0.0,book,208
2020-01-15,Tamil,,,0,0,0.0,book,7
2020-01-15,German (CHE),,,0,0,0.0,book,287
2020-01-15,Serbian,,,0,0,0.0,book,2
2020-01-15,German (AUT),,,0,0,0.0,book,287
2020-01-15,Vietnamese,,,0,0,0.0,book,14
2020-01-15,German (DEU),,,0,0,0.0,book,287
2020-01-16,German (DEU),,,0,0,0.0,book,315
2020-01-16,Serbian,,,0,0,0.0,book,2
2020-01-16,Japanese,,,0,0,0.0,book,218
2020-01-16,Tamil,,,0,0,0.0,book,9
2020-01-16,Vietnamese,,,0,0,0.0,book,18
2020-01-16,German (AUT),,,0,0,0.0,book,315
2020-01-16,German (CHE),,,0,0,0.0,book,315
2020-01-17,Tamil,,,0,0,0.0,book,12
