date,book,jogging,origami,yoga,bread,orchids,mindfulness,podcast,calligraphy,board games,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index
2020-01-01,159,69,135,718,191,282,0,1943,133,1667,German (DEU),,,0,0,0.0
2020-01-01,11,0,6,80,1,3,1,2,1,2,Tamil,,,0,0,0.0
2020-01-01,33,22,10,33,43,52,17,33,52,26,Vietnamese,,,0,0,0.0
2020-01-01,2,7,4,8,15,8,5,18,6,159,Serbian,,,0,0,0.0
2020-01-01,90,50,133,233,177,123,209,183,201,164,Japanese,,,0,0,0.0
2020-01-01,159,69,135,718,191,282,0,1943,133,1667,German (CHE),,,0,0,0.0
2020-01-01,159,69,135,718,191,282,0,1943,133,1667,German (AUT),,,0,0,0.0
2020-01-02,38,17,19,39,32,62,11,116,53,18,Vietnamese,,,0,0,0.0
2020-01-02,125,62,173,291,195,130,251,235,195,181,Japanese,,,0,0,0.0
2020-01-02,179,79,137,988,251,325,1,2000,144,1100,German (DEU),,,0,0,0.0
2020-01-02,5,14,1,17,28,12,5,25,10,59,Serbian,,,0,0,0.0
2020-01-02,25,0,9,60,2,1,0,2,1,5,Tamil,,,0,0,0.0
2020-01-02,179,79,137,988,251,325,1,2000,144,1100,German (AUT),,,0,0,0.0
2020-01-02,179,79,137,988,251,325,1,2000,144,1100,German (CHE),,,0,0,0.0
2020-01-03,12,0,6,80,2,6,0,2,1,0,Tamil,,,0,0,0.0
2020-01-03,112,98,149,319,213,132,293,255,158,203,Japanese,,,0,0,0.0
2020-01-03,216,62,152,854,253,338,2,3709,190,1036,German (AUT),,,0,0,0.0
2020-01-03,4,21,2,36,29,44,5,25,16,49,Serbian,,,0,0,0.0
2020-01-03,216,62,152,854,253,338,2,3709,190,1036,German (DEU),,,0,0,0.0
2020-01-03,216,62,152,854,253,338,2,3709,190,1036,German (CHE),,,0,0,0.0
2020-01-03,26,28,14,42,30,53,18,99,47,12,Vietnamese,,,0,0,0.0
2020-01-04,234,68,463,908,250,399,2,2922,179,1166,German (DEU),,,0,0,0.0
2020-01-04,234,68,463,908,250,399,2,2922,179,1166,German (AUT),,,0,0,0.0
2020-01-04,11,50,12,59,45,64,6,48,29,208,Serbian,,,0,0,0.0
2020-01-04,234,68,463,908,250,399,2,2922,179,1166,German (CHE),,,0,0,0.0
2020-01-04,20,0,2,64,1,2,0,3,2,3,Tamil,,,0,0,0.0
2020-01-04,116,107,179,371,334,146,327,226,220,191,Japanese,,,0,0,0.0
2020-01-04,24,13,18,38,31,68,12,78,47,27,Vietnamese,,,0,0,0.0
2020-01-05,8,90,13,41,33,35,2,75,17,182,Serbian,,,0,0,0.0
2020-01-05,234,79,195,1019,242,377,1,10337,169,1055,German (DEU),,,0,0,0.0
