DATE,AUT,DEU,IND,JPN,SRB,CHE,VNM
1/1/2019,0,0,0,0,0,0,0
1/2/2019,0,0,0,0,0,0,0
1/3/2019,0,0,0,0,0,0,0
1/4/2019,0,0,0,0,0,0,0
1/5/2019,0,0,0,0,0,0,0
1/6/2019,0,0,0,0,0,0,0
1/7/2019,0,0,0,0,0,0,0
1/8/2019,0,0,0,0,0,0,0
1/9/2019,0,0,0,0,0,0,0
1/10/2019,0,0,0,0,0,0,0
1/11/2019,0,0,0,0,0,0,0
1/12/2019,0,0,0,0,0,0,0
1/13/2019,0,0,0,0,0,0,0
1/14/2019,0,0,0,0,0,0,0
1/15/2019,0,0,0,0,0,0,0
1/16/2019,0,0,0,0,0,0,0
1/17/2019,0,0,0,0,0,0,0
1/18/2019,0,0,0,0,0,0,0
1/19/2019,0,0,0,0,0,0,0
1/20/2019,0,0,0,0,0,0,0
1/21/2019,0,0,0,0,0,0,0
1/22/2019,0,0,0,0,0,0,0
1/23/2019,0,0,0,0,0,0,0
1/24/2019,0,0,0,0,0,0,0
1/25/2019,0,0,0,0,0,0,0
1/26/2019,0,0,0,0,0,0,0
1/27/2019,0,0,0,0,0,0,0
1/28/2019,0,0,0,0,0,0,0
1/29/2019,0,0,0,0,0,0,0
1/30/2019,0,0,0,0,0,0,0
1/31/2019,0,0,0,0,0,0,0
2/1/2019,0,0,0,0,0,0,0
2/2/2019,0,0,0,0,0,0,0
2/3/2019,0,0,0,0,0,0,0
2/4/2019,0,0,0,0,0,0,0
2/5/2019,0,0,0,0,0,0,0
2/6/2019,0,0,0,0,0,0,0
2/7/2019,0,0,0,0,0,0,0
2/8/2019,0,0,0,0,0,0,0
2/9/2019,0,0,0,0,0,0,0
2/10/2019,0,0,0,0,0,0,0
2/11/2019,0,0,0,0,0,0,0
2/12/2019,0,0,0,0,0,0,0
2/13/2019,0,0,0,0,0,0,0
2/14/2019,0,0,0,0,0,0,0
2/15/2019,0,0,0,0,0,0,0
