Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
2019-01-01,129,100,188,150,172,194,163,150,448,247,Japanese
2019-01-02,102,69,175,306,200,261,134,185,410,336,Japanese
2019-01-03,212,66,159,306,217,298,109,197,448,340,Japanese
2019-01-04,179,73,189,186,249,302,134,233,477,327,Japanese
2019-01-05,183,91,194,220,268,331,175,222,409,381,Japanese
2019-01-06,210,88,201,189,292,352,197,296,459,400,Japanese
2019-01-07,247,90,226,233,289,280,179,282,559,382,Japanese
2019-01-08,249,73,218,204,317,362,167,283,592,347,Japanese
2019-01-09,225,80,252,203,285,335,188,255,567,407,Japanese
2019-01-10,194,66,227,190,274,350,201,284,591,337,Japanese
2019-01-11,212,70,226,190,287,401,212,333,526,357,Japanese
2019-01-12,146,64,228,197,332,393,178,223,394,393,Japanese
2019-01-13,167,72,196,145,328,363,221,224,420,395,Japanese
2019-01-14,217,90,205,180,316,474,156,264,698,406,Japanese
2019-01-15,274,80,223,213,349,378,163,246,697,365,Japanese
2019-01-16,217,79,267,193,278,322,162,307,719,335,Japanese
2019-01-17,229,70,273,167,296,385,146,317,723,362,Japanese
2019-01-18,206,59,313,213,237,317,144,336,662,314,Japanese
2019-01-19,126,76,187,137,271,335,164,228,636,305,Japanese
2019-01-20,172,74,198,177,293,401,283,258,963,388,Japanese
2019-01-21,215,76,255,197,315,413,350,253,715,330,Japanese
2019-01-22,245,56,306,200,306,410,187,228,716,348,Japanese
2019-01-23,202,81,285,186,796,435,226,284,753,351,Japanese
2019-01-24,236,72,304,174,310,406,203,299,719,328,Japanese
2019-01-25,240,45,290,216,282,364,180,210,614,300,Japanese
2019-01-26,117,70,271,188,274,345,149,183,576,332,Japanese
2019-01-27,191,82,267,161,400,423,248,345,707,371,Japanese
2019-01-28,210,77,298,179,315,475,210,387,702,325,Japanese
2019-01-29,220,57,290,165,251,401,204,272,651,363,Japanese
2019-01-30,250,63,293,193,316,411,234,260,656,353,Japanese
2019-01-31,239,56,294,157,261,434,228,220,626,323,Japanese
2019-02-01,232,64,249,142,270,391,175,281,597,351,Japanese
2019-02-02,169,62,227,164,267,360,214,187,480,356,Japanese
2019-02-03,149,52,215,149,276,384,304,201,545,396,Japanese
2019-02-04,225,85,310,163,284,453,233,445,692,374,Japanese
2019-02-05,238,62,322,189,309,442,200,266,729,354,Japanese
