Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
1/1/2019,10,0,0,14,3,2,2,1,0,6,Macedonian
2/1/2019,8,0,1,14,6,7,4,6,0,3,Macedonian
3/1/2019,7,0,2,19,4,0,2,6,0,0,Macedonian
4/1/2019,5,1,0,12,1,1,5,7,0,0,Macedonian
5/1/2019,21,0,0,7,2,5,3,1,0,2,Macedonian
6/1/2019,12,0,0,9,4,15,1,0,0,1,Macedonian
7/1/2019,2,1,0,8,4,2,2,0,0,1,Macedonian
8/1/2019,3,1,1,10,5,1,5,2,0,2,Macedonian
9/1/2019,4,0,1,8,6,2,2,0,0,3,Macedonian
10/1/2019,8,0,0,10,11,3,3,0,0,2,Macedonian
11/1/2019,1,1,0,6,4,4,1,2,0,2,Macedonian
12/1/2019,7,3,0,11,11,1,2,2,0,3,Macedonian
13/01/2019,2,0,1,4,3,6,14,1,0,5,Macedonian
14/01/2019,3,0,2,11,4,2,5,3,0,1,Macedonian
15/01/2019,4,0,0,13,16,0,3,1,0,9,Macedonian
16/01/2019,5,0,3,13,2,1,5,3,0,7,Macedonian
17/01/2019,3,0,0,12,4,2,0,0,0,5,Macedonian
18/01/2019,8,0,1,6,4,2,3,2,0,4,Macedonian
19/01/2019,8,3,1,14,16,1,3,1,0,7,Macedonian
20/01/2019,4,0,2,13,5,2,3,10,0,17,Macedonian
21/01/2019,6,0,0,6,4,3,7,3,0,1,Macedonian
22/01/2019,11,0,0,4,3,0,2,0,0,5,Macedonian
23/01/2019,5,2,5,14,2,0,7,1,0,13,Macedonian
24/01/2019,17,1,3,15,5,0,6,3,0,65,Macedonian
25/01/2019,17,0,4,14,6,2,8,2,0,16,Macedonian
26/01/2019,4,1,2,13,3,2,3,1,0,7,Macedonian
27/01/2019,8,2,0,16,9,3,3,2,0,14,Macedonian
28/01/2019,4,1,5,9,4,2,7,0,0,5,Macedonian
29/01/2019,11,0,4,8,4,3,3,1,0,7,Macedonian
30/01/2019,11,0,1,16,4,4,1,2,0,7,Macedonian
31/01/2019,11,0,2,14,3,2,7,1,0,8,Macedonian
1/2/2019,5,0,2,13,5,4,3,5,0,1,Macedonian
2/2/2019,5,1,0,14,10,3,7,4,0,2,Macedonian
3/2/2019,8,0,0,13,3,6,4,2,0,10,Macedonian
4/2/2019,14,1,1,11,11,4,5,6,0,10,Macedonian
5/2/2019,9,0,4,9,7,6,6,1,0,6,Macedonian
6/2/2019,9,0,3,6,7,6,6,1,0,5,Macedonian
7/2/2019,18,0,0,6,7,3,6,1,0,1,Macedonian
8/2/2019,0,1,1,10,7,7,11,2,0,21,Macedonian
