Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
1/1/2019,0,9,1,248,23,27,7,10,1,19,Serbian
2/1/2019,5,8,6,199,26,23,15,13,7,16,Serbian
3/1/2019,6,8,0,193,25,15,9,19,6,36,Serbian
4/1/2019,3,20,2,174,27,19,21,12,4,19,Serbian
5/1/2019,4,6,3,166,33,18,11,10,3,29,Serbian
6/1/2019,2,11,0,146,27,26,10,5,4,14,Serbian
7/1/2019,2,10,2,175,25,30,14,11,0,17,Serbian
8/1/2019,6,7,2,127,24,23,8,27,5,23,Serbian
9/1/2019,4,16,1,89,30,31,14,22,5,29,Serbian
10/1/2019,6,17,1,73,46,21,9,10,1,30,Serbian
11/1/2019,4,5,1,79,32,15,10,24,5,19,Serbian
12/1/2019,4,12,3,106,32,24,30,12,7,22,Serbian
13/01/2019,8,23,1,122,30,20,16,25,5,11,Serbian
14/01/2019,4,15,3,84,36,30,10,14,4,19,Serbian
15/01/2019,3,13,2,62,40,27,12,18,2,21,Serbian
16/01/2019,6,11,5,37,43,33,20,41,1,26,Serbian
17/01/2019,2,10,2,50,40,16,13,12,4,16,Serbian
18/01/2019,2,16,5,59,20,16,13,14,2,19,Serbian
19/01/2019,4,14,0,58,32,32,17,9,3,23,Serbian
20/01/2019,7,17,4,107,54,14,24,9,10,18,Serbian
21/01/2019,1,16,6,51,43,15,25,32,9,20,Serbian
22/01/2019,3,19,2,44,42,20,22,23,2,26,Serbian
23/01/2019,6,17,2,44,37,21,35,22,3,19,Serbian
24/01/2019,4,11,1,40,34,19,18,31,4,21,Serbian
25/01/2019,1,12,1,56,29,17,12,26,1,22,Serbian
26/01/2019,3,12,2,90,23,19,23,16,1,15,Serbian
27/01/2019,2,6,1,82,34,19,28,22,7,15,Serbian
28/01/2019,1,25,4,45,37,13,19,20,3,23,Serbian
29/01/2019,9,13,3,35,45,27,17,20,1,14,Serbian
30/01/2019,9,15,3,31,37,26,19,20,4,27,Serbian
31/01/2019,1,22,0,64,22,18,18,18,3,20,Serbian
1/2/2019,2,10,2,75,35,31,10,11,2,30,Serbian
2/2/2019,4,9,0,77,30,20,27,24,1,36,Serbian
3/2/2019,3,12,2,99,51,20,20,22,5,22,Serbian
4/2/2019,1,15,1,91,30,15,23,22,0,12,Serbian
5/2/2019,6,12,3,62,27,34,15,13,15,32,Serbian
6/2/2019,4,12,1,60,37,30,25,25,3,44,Serbian
7/2/2019,6,11,4,69,40,26,21,32,3,23,Serbian
8/2/2019,1,10,2,48,26,27,15,19,6,18,Serbian
9/2/2019,4,7,4,68,37,20,36,17,4,21,Serbian
10/2/2019,10,23,0,81,31,21,24,18,1,41,Serbian
11/2/2019,2,12,0,51,42,19,17,19,0,19,Serbian
12/2/2019,5,8,0,61,29,25,31,28,0,26,Serbian
13/02/2019,2,13,3,61,27,24,22,26,3,32,Serbian
14/02/2019,1,14,3,58,14,21,29,25,3,31,Serbian
15/02/2019,3,9,1,69,31,24,31,11,1,29,Serbian
16/02/2019,6,16,4,81,27,9,22,12,2,20,Serbian
17/02/2019,2,14,0,75,30,21,14,9,5,25,Serbian
18/02/2019,11,13,0,59,38,14,17,12,7,32,Serbian
19/02/2019,5,11,5,52,30,29,17,29,6,26,Serbian
20/02/2019,4,13,2,47,35,24,28,33,1,25,Serbian
21/02/2019,2,11,5,44,33,17,21,9,0,21,Serbian
22/02/2019,1,19,0,69,21,31,16,12,4,27,Serbian
23/02/2019,3,16,9,100,45,19,17,10,1,13,Serbian
