Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
1/1/2019,19,1,2,6,72,1,2,2,0,6,Tamil
1/2/2019,46,0,3,4,86,4,3,3,0,5,Tamil
1/3/2019,18,0,9,13,71,2,4,2,0,8,Tamil
1/4/2019,14,0,10,1,127,1,5,0,0,3,Tamil
1/5/2019,8,0,5,1,111,2,3,2,0,9,Tamil
1/6/2019,23,0,1,3,177,1,3,2,0,4,Tamil
1/7/2019,16,1,1,2,130,0,2,0,0,3,Tamil
1/8/2019,17,0,5,2,137,2,2,1,0,2,Tamil
1/9/2019,20,0,3,6,97,1,4,1,4,6,Tamil
1/10/2019,13,0,4,4,90,5,7,0,0,4,Tamil
1/11/2019,5,0,0,4,66,1,3,1,0,7,Tamil
1/12/2019,5,0,6,3,86,3,2,1,2,7,Tamil
1/13/2019,3,0,5,3,68,3,0,3,1,9,Tamil
1/14/2019,7,0,0,3,50,2,1,2,0,4,Tamil
1/15/2019,7,0,1,1,39,0,0,0,0,0,Tamil
1/16/2019,8,1,4,2,69,2,3,0,0,3,Tamil
1/17/2019,4,0,0,8,105,1,1,1,0,1,Tamil
1/18/2019,8,0,3,6,83,1,2,2,0,7,Tamil
1/19/2019,22,0,5,4,76,2,1,0,0,4,Tamil
1/20/2019,14,0,5,4,91,0,2,4,0,3,Tamil
1/21/2019,14,0,6,4,93,2,2,2,1,3,Tamil
1/22/2019,7,0,12,7,126,1,1,0,3,5,Tamil
1/23/2019,10,0,2,4,113,7,4,0,0,4,Tamil
1/24/2019,11,0,6,2,155,3,1,1,0,4,Tamil
1/25/2019,10,1,7,0,92,2,1,1,0,6,Tamil
1/26/2019,5,0,7,2,77,1,2,4,1,1,Tamil
1/27/2019,11,0,1,3,81,3,1,2,0,0,Tamil
1/28/2019,18,0,3,2,130,1,0,0,1,3,Tamil
1/29/2019,10,0,5,3,78,1,2,0,0,1,Tamil
1/30/2019,8,0,1,2,83,1,3,1,1,4,Tamil
1/31/2019,13,1,3,0,115,0,5,0,1,3,Tamil
2/1/2019,11,0,5,7,70,0,4,2,1,7,Tamil
2/2/2019,13,0,6,1,91,1,1,3,0,8,Tamil
2/3/2019,7,2,6,5,107,2,5,1,1,6,Tamil
2/4/2019,12,0,4,1,96,1,3,4,0,1,Tamil
2/5/2019,20,0,5,5,106,1,5,1,0,2,Tamil
2/6/2019,15,0,6,2,85,1,0,1,1,7,Tamil
2/7/2019,11,0,4,5,116,0,5,2,0,6,Tamil
2/8/2019,10,1,3,2,109,1,0,3,0,5,Tamil
2/9/2019,14,0,1,2,178,1,2,1,0,6,Tamil
2/10/2019,27,0,4,4,107,2,5,1,0,7,Tamil
2/11/2019,14,0,6,4,78,1,7,1,0,3,Tamil
2/12/2019,13,0,4,2,78,2,1,5,0,12,Tamil
2/13/2019,10,0,5,1,99,4,2,4,1,6,Tamil
2/14/2019,9,0,2,1,96,0,1,2,0,3,Tamil
2/15/2019,17,2,6,7,78,0,3,0,0,5,Tamil
2/16/2019,15,0,3,0,72,1,3,2,0,0,Tamil
2/17/2019,12,0,2,1,51,1,3,1,0,5,Tamil
2/18/2019,12,0,3,0,68,0,2,0,1,1,Tamil
2/19/2019,11,0,5,4,67,4,1,0,0,7,Tamil
2/20/2019,17,0,4,4,68,4,2,0,0,4,Tamil
2/21/2019,14,0,1,1,61,4,2,0,0,4,Tamil
2/22/2019,21,0,2,2,66,0,1,0,1,5,Tamil
2/23/2019,15,0,3,2,55,6,3,1,0,3,Tamil
2/24/2019,22,0,2,2,61,3,2,1,0,5,Tamil
2/25/2019,8,0,3,2,81,2,3,2,0,7,Tamil
2/26/2019,17,0,2,3,101,0,0,1,1,4,Tamil
2/27/2019,13,0,2,0,108,3,2,5,0,6,Tamil
2/28/2019,11,0,7,0,88,0,4,4,2,5,Tamil
3/1/2019,13,0,1,3,76,1,2,3,0,6,Tamil
3/2/2019,22,0,2,2,120,1,4,5,0,3,Tamil
3/3/2019,15,0,3,2,181,3,4,1,0,2,Tamil
3/4/2019,17,0,1,3,114,2,2,0,0,2,Tamil
3/5/2019,20,0,4,1,98,2,2,0,0,3,Tamil
3/6/2019,15,0,6,1,82,0,3,1,0,0,Tamil
3/7/2019,4,0,6,2,80,1,0,3,0,2,Tamil
3/8/2019,9,0,3,1,57,0,3,1,1,14,Tamil
3/9/2019,9,1,1,2,65,3,1,1,0,3,Tamil
3/10/2019,7,1,6,2,65,0,0,1,3,3,Tamil
3/11/2019,10,0,7,1,70,0,1,4,1,5,Tamil
3/12/2019,18,0,1,3,89,6,5,2,0,5,Tamil
3/13/2019,16,0,1,2,89,1,6,0,1,8,Tamil
3/14/2019,9,0,5,2,114,1,1,0,1,5,Tamil
3/15/2019,5,0,4,0,74,5,0,2,1,3,Tamil
3/16/2019,12,0,1,0,74,5,3,0,1,5,Tamil
3/17/2019,18,0,10,3,55,3,0,1,3,3,Tamil
3/18/2019,23,0,6,4,53,3,2,4,0,8,Tamil
3/19/2019,8,0,3,3,63,1,5,4,3,5,Tamil
3/20/2019,9,0,0,9,106,1,7,1,1,4,Tamil
3/21/2019,16,0,3,4,74,1,1,0,0,2,Tamil
3/22/2019,8,0,1,2,75,5,2,0,1,5,Tamil
3/23/2019,13,0,10,3,116,2,3,5,0,0,Tamil
3/24/2019,14,1,5,2,89,2,1,2,0,4,Tamil
3/25/2019,14,0,4,7,96,6,0,68,0,5,Tamil
3/26/2019,8,2,2,0,84,4,1,3,0,3,Tamil
3/27/2019,3,0,6,2,79,2,3,5,0,4,Tamil
3/28/2019,5,0,7,4,100,0,2,3,0,6,Tamil
3/29/2019,9,0,8,2,85,3,1,4,1,6,Tamil
3/30/2019,10,0,4,0,51,1,1,1,3,0,Tamil
3/31/2019,7,0,0,1,74,1,0,1,0,7,Tamil
4/1/2019,11,0,1,2,78,1,4,0,0,2,Tamil
4/2/2019,7,2,3,0,135,3,3,6,1,5,Tamil
4/3/2019,11,0,6,2,254,0,1,1,1,2,Tamil
4/4/2019,6,1,4,1,146,3,2,1,0,1,Tamil
4/5/2019,9,1,3,3,61,1,2,1,1,2,Tamil
4/6/2019,7,5,1,0,45,2,3,1,2,7,Tamil
4/7/2019,10,0,0,2,37,2,1,0,2,8,Tamil
4/8/2019,7,1,3,2,68,0,1,1,0,2,Tamil
4/9/2019,6,1,6,2,80,3,1,1,0,4,Tamil
4/10/2019,12,1,8,2,100,2,0,0,0,6,Tamil
