Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
1/1/2019,11,14,21,23,54,55,43,36,9,47,Vietnamese
1/2/2019,10,18,15,13,48,48,61,36,7,66,Vietnamese
1/3/2019,14,9,24,13,67,44,74,32,9,59,Vietnamese
1/4/2019,20,13,22,21,44,35,62,42,8,52,Vietnamese
1/5/2019,11,21,33,16,56,43,76,33,2,59,Vietnamese
1/6/2019,19,12,31,21,38,64,83,40,12,50,Vietnamese
1/7/2019,11,17,24,8,53,56,86,42,10,52,Vietnamese
1/8/2019,26,16,19,8,73,52,79,46,6,42,Vietnamese
1/9/2019,12,14,12,10,74,52,117,36,9,42,Vietnamese
1/10/2019,17,20,23,23,61,68,80,53,16,35,Vietnamese
1/11/2019,12,9,20,21,66,57,101,53,12,55,Vietnamese
1/12/2019,10,11,18,6,45,40,99,46,9,55,Vietnamese
1/13/2019,17,11,20,18,48,45,69,54,10,44,Vietnamese
1/14/2019,10,25,31,16,74,74,186,47,14,82,Vietnamese
1/15/2019,16,12,37,8,54,56,99,63,7,90,Vietnamese
1/16/2019,16,16,21,18,62,59,179,60,7,68,Vietnamese
1/17/2019,14,22,19,11,39,47,162,53,8,89,Vietnamese
1/18/2019,16,14,23,12,41,42,102,84,12,102,Vietnamese
1/19/2019,10,13,19,15,49,25,90,48,4,58,Vietnamese
1/20/2019,17,14,16,11,39,48,74,53,6,37,Vietnamese
1/21/2019,18,7,23,3,53,42,155,56,4,37,Vietnamese
1/22/2019,26,12,35,22,40,55,122,58,12,53,Vietnamese
1/23/2019,13,13,32,13,39,57,141,73,13,53,Vietnamese
1/24/2019,16,11,21,9,28,51,92,61,5,33,Vietnamese
1/25/2019,2,22,26,8,39,29,152,71,5,29,Vietnamese
1/26/2019,17,12,19,8,28,38,95,52,7,27,Vietnamese
1/27/2019,6,8,30,15,27,30,107,58,12,49,Vietnamese
1/28/2019,11,15,31,7,41,33,87,65,11,38,Vietnamese
1/29/2019,10,11,17,19,26,12,86,61,8,32,Vietnamese
1/30/2019,7,7,11,12,29,15,107,58,10,35,Vietnamese
1/31/2019,8,13,32,16,28,27,67,48,5,28,Vietnamese
2/1/2019,13,4,21,10,29,22,68,55,5,41,Vietnamese
2/2/2019,1,4,9,19,26,21,61,58,4,23,Vietnamese
2/3/2019,3,15,23,13,18,12,55,56,9,35,Vietnamese
2/4/2019,5,19,7,14,32,10,60,49,17,21,Vietnamese
2/5/2019,2,1,11,8,16,4,59,43,10,26,Vietnamese
2/6/2019,3,12,21,24,33,10,45,49,7,22,Vietnamese
2/7/2019,3,13,14,12,37,17,40,46,15,86,Vietnamese
2/8/2019,5,9,27,27,45,24,60,41,11,50,Vietnamese
2/9/2019,11,10,21,19,32,26,82,45,8,62,Vietnamese
2/10/2019,7,15,26,17,42,17,88,62,15,54,Vietnamese
2/11/2019,10,24,24,13,38,35,140,45,15,53,Vietnamese
2/12/2019,12,16,13,8,62,34,106,34,19,64,Vietnamese
2/13/2019,18,24,24,12,66,29,144,42,13,39,Vietnamese
2/14/2019,17,17,27,19,60,43,107,43,12,54,Vietnamese
2/15/2019,8,16,21,7,60,50,115,37,15,53,Vietnamese
2/16/2019,15,19,27,20,46,37,99,51,4,40,Vietnamese
2/17/2019,13,16,24,13,49,40,92,52,11,50,Vietnamese
2/18/2019,19,18,28,17,68,55,139,44,8,42,Vietnamese
2/19/2019,19,18,25,9,75,63,194,43,7,60,Vietnamese
2/20/2019,18,26,23,13,70,57,175,46,8,53,Vietnamese
2/21/2019,18,16,24,8,65,83,201,53,15,63,Vietnamese
2/22/2019,16,18,37,11,61,81,179,32,9,49,Vietnamese
2/23/2019,18,11,27,12,69,63,108,28,11,43,Vietnamese
2/24/2019,20,17,27,12,68,44,86,51,12,53,Vietnamese
2/25/2019,37,27,41,8,78,53,168,28,11,56,Vietnamese
2/26/2019,26,37,19,11,59,50,176,37,13,51,Vietnamese
2/27/2019,9,30,34,25,59,51,152,35,8,65,Vietnamese
2/28/2019,30,26,20,12,96,56,137,39,9,48,Vietnamese
3/1/2019,18,33,30,10,74,51,162,28,19,45,Vietnamese
3/2/2019,11,22,26,16,83,55,99,27,10,50,Vietnamese
3/3/2019,29,31,27,18,56,35,118,38,18,44,Vietnamese
3/4/2019,16,26,35,18,90,45,144,40,13,51,Vietnamese
3/5/2019,10,31,32,17,83,60,136,33,24,50,Vietnamese
3/6/2019,19,37,37,18,72,85,159,35,18,58,Vietnamese
3/7/2019,22,31,30,11,69,51,122,18,12,45,Vietnamese
3/8/2019,27,14,29,14,67,55,110,16,16,56,Vietnamese
3/9/2019,17,17,29,9,60,41,86,14,12,49,Vietnamese
3/10/2019,16,27,20,26,68,40,118,30,12,48,Vietnamese
3/11/2019,21,21,22,9,78,62,118,16,17,58,Vietnamese
3/12/2019,25,22,31,15,71,56,122,22,5,40,Vietnamese
3/13/2019,56,29,21,15,64,55,107,21,12,58,Vietnamese
3/14/2019,31,37,28,18,51,59,121,29,13,56,Vietnamese
3/15/2019,28,34,23,14,58,49,94,18,9,54,Vietnamese
3/16/2019,12,19,29,7,61,54,107,14,22,53,Vietnamese
3/17/2019,22,15,23,22,55,42,85,19,19,59,Vietnamese
3/18/2019,22,23,30,11,68,64,114,32,16,50,Vietnamese
3/19/2019,22,18,35,10,80,65,145,31,11,46,Vietnamese
3/20/2019,20,22,22,11,82,80,101,48,17,43,Vietnamese
