,language,date,book,jogging,origami,yoga,bread,orchids,mindfulness,podcast,calligraphy,board games,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index
0,German,2020-01-01,159.0,69.0,135.0,718.0,191.0,282.0,0.0,1943.0,133.0,1667.0,,,0.0,0.0,0.0
1,German,2020-01-02,179.0,79.0,137.0,988.0,251.0,325.0,1.0,2000.0,144.0,1100.0,,,0.0,0.0,0.0
2,German,2020-01-03,216.0,62.0,152.0,854.0,253.0,338.0,2.0,3709.0,190.0,1036.0,,,0.0,0.0,0.0
3,German,2020-01-04,234.0,68.0,463.0,908.0,250.0,399.0,2.0,2922.0,179.0,1166.0,,,0.0,0.0,0.0
4,German,2020-01-05,234.0,79.0,195.0,1019.0,242.0,377.0,1.0,10337.0,169.0,1055.0,,,0.0,0.0,0.0
5,German,2020-01-06,285.0,82.0,167.0,974.0,251.0,330.0,2.0,3080.0,301.0,771.0,,,0.0,0.0,0.0
6,German,2020-01-07,264.0,56.0,153.0,942.0,264.0,319.0,1.0,2531.0,197.0,567.0,,,0.0,0.0,0.0
7,German,2020-01-08,296.0,79.0,171.0,1056.0,260.0,419.0,1.0,2331.0,184.0,509.0,,,0.0,0.0,0.0
8,German,2020-01-09,269.0,81.0,179.0,1047.0,269.0,340.0,3.0,2168.0,240.0,473.0,,,0.0,0.0,0.0
9,German,2020-01-10,256.0,45.0,143.0,864.0,230.0,404.0,0.0,2599.0,172.0,599.0,,,0.0,0.0,0.0
10,German,2020-01-11,213.0,69.0,124.0,869.0,259.0,369.0,0.0,2364.0,139.0,868.0,,,0.0,0.0,0.0
11,German,2020-01-12,220.0,77.0,150.0,1092.0,274.0,457.0,1.0,2740.0,165.0,788.0,,,0.0,0.0,0.0
12,German,2020-01-13,266.0,88.0,162.0,1044.0,324.0,412.0,2.0,2270.0,249.0,514.0,,,0.0,0.0,0.0
13,German,2020-01-14,285.0,65.0,153.0,1065.0,330.0,382.0,5.0,2254.0,191.0,436.0,,,0.0,0.0,0.0
14,German,2020-01-15,287.0,78.0,168.0,1059.0,305.0,361.0,2.0,2940.0,203.0,466.0,,,0.0,0.0,0.0
15,German,2020-01-16,315.0,73.0,159.0,1012.0,313.0,376.0,1.0,2147.0,194.0,393.0,,,0.0,0.0,0.0
16,German,2020-01-17,255.0,68.0,141.0,914.0,297.0,367.0,2.0,2694.0,155.0,552.0,,,0.0,0.0,0.0
17,German,2020-01-18,149.0,56.0,113.0,795.0,252.0,430.0,2.0,2363.0,145.0,689.0,,,0.0,0.0,0.0
18,German,2020-01-19,207.0,86.0,130.0,972.0,302.0,475.0,2.0,8740.0,187.0,734.0,,,0.0,0.0,0.0
19,German,2020-01-20,257.0,76.0,143.0,993.0,367.0,376.0,1.0,2971.0,189.0,594.0,,,0.0,0.0,0.0
20,German,2020-01-21,262.0,89.0,174.0,1005.0,304.0,326.0,3.0,2815.0,199.0,393.0,,,0.0,0.0,0.0
21,German,2020-01-22,271.0,213.0,165.0,1027.0,311.0,322.0,1.0,3420.0,184.0,434.0,,,0.0,0.0,0.0
22,German,2020-01-23,253.0,90.0,153.0,964.0,274.0,404.0,3.0,3001.0,183.0,392.0,,,0.0,0.0,0.0
23,German,2020-01-24,213.0,54.0,144.0,798.0,246.0,354.0,2.0,2517.0,153.0,530.0,,,0.0,0.0,0.0
24,German,2020-01-25,191.0,88.0,115.0,774.0,252.0,412.0,3.0,2280.0,133.0,611.0,,,0.0,0.0,0.0
25,German,2020-01-26,184.0,71.0,223.0,855.0,290.0,393.0,2.0,2680.0,200.0,586.0,,,0.0,0.0,1.8533333333333333
26,German,2020-01-27,244.0,59.0,156.0,945.0,313.0,375.0,1.0,2353.0,200.0,460.0,,,0.0,0.0,3.7066666666666666
27,German,2020-01-28,273.0,64.0,177.0,944.0,327.0,374.0,3.0,2612.0,182.0,443.0,,,0.0,0.0,3.7066666666666666
28,German,2020-01-29,232.0,61.0,158.0,1030.0,318.0,384.0,1.0,2330.0,181.0,411.0,,,0.0,0.0,3.7066666666666666
29,German,2020-01-30,246.0,62.0,147.0,946.0,322.0,473.0,2.0,2605.0,160.0,395.0,,,0.0,0.0,3.7066666666666666
